product_title	category	tag
汤姆农场巧克力味扁桃仁70g	快消品-休闲食品-坚果炒货-巴旦木	坚果,果仁,桃仁,扁桃仁,干果,休闲零食,坚果仁,巴旦木,巴达木
奇点烘焙日式菠萝包70g	餐饮熟食-烘焙糕点-面包吐司-花式面包	面包,波萝包,菠萝包,波罗包,烘焙面点,面包子
零度果坊NFC鲜榨芒果汁300ml	快消品-乳品冷饮-冷藏饮料-冷藏果蔬汁	果汁饮品,果汁,芒果汁,水果汁,冷藏饮品,饮品,鲜榨果汁
教师节玫瑰花束499型	家居家装-鲜花礼品-花-单一鲜花花束	鲜花系列,玫瑰花束,玫瑰,花,鲜花,花草,玫瑰花,花束,玫瑰鲜花
新奇士澳洲黑标橙2粒装460g	生鲜-水果-柑桔橙柚类-橙子	澳洲橙,橙,澳橙,橙子橙,橘橙,新奇士橙,橙子,水果
饭爷 红烧酱汁 85g	快消品-粮油调味-调味汁/油-其他调味汁/油	烧汁,酱汁,红烧汁,酱,红烧酱汁,调味汁,红烧酱,酱油汁
华味亨盐津葡萄208g	快消品-休闲食品-果干蜜饯-葡萄干	果干,蜜饯,休闲零食,蜜饯果脯,果脯
茶歇好丽友派清新莓妙味210g*16盒	快消品-休闲食品-中西糕点-派	蛋糕,派,糕点,休闲零食,西式糕点
水仙芒单粒 500-700g	生鲜-水果-热带水果-芒果	水仙芒,芒果,芒果芒,水仙芒果,水果
宝石蜘蛛蕾丝巫婆帽（万圣节）	家居家装-鲜花礼品-年节饰品-节日装扮用品	家居厨卫,巫婆帽
正大冰鲜鸭舌200g	生鲜-肉禽蛋-鸭副件-其他鸭副件	
可尼斯桃味果冻大杯装410g	快消品-休闲食品-糖果巧克力-果冻/布丁	休闲零食,果冻
金锣鲜小里脊350g	生鲜-肉禽蛋-猪肉-猪里脊/瘦肉	里脊,里脊肉,鲜肉,小里脊,猪肉,通脊,梅花肉
相思梅5枝	家居家装-鲜花礼品-花-单一鲜花花束	鲜花,花卉,相思梅
茶花简易果皮刀1个	家居家装-厨房用品-厨房配件-削皮器	果皮刀,水果刀,家居厨卫,烹饪工具,刀,厨房工具
广西大青芒 600g	生鲜-水果-热带水果-芒果	青芒果,芒果青,芒青,芒果,大果,芒果芒,青芒,水果
红牛维生素功能饮料250ml(新老包装随机发货)	快消品-饮料冲调-咖啡/功能饮料-机能饮料	维生素功能饮料,运功饮料,功能饮料,水饮料,能量饮料,饮料,维生素,酒水饮料,运动,运动饮料,维生素饮料
新疆无核紫葡萄450g	生鲜-水果-浆果类-葡萄	葡萄,紫葡萄,水果,浆果
得宝迷你纸手帕12包×7片（樱花味）	快消品-清洁用品-纸品-手帕纸	纸,纸手帕,纸巾,餐巾纸,卫生纸,擦手纸,面巾纸,手帕纸,面纸,手帕
五谷磨房荞麦150g	快消品-粮油调味-五谷杂粮-其他杂粮	杂粮,五谷,米面杂粮,荞麦,粮油副食
稻可道臻选丝苗米5kg	快消品-粮油调味-大米-丝苗米	米面,硬米,米面杂粮,稻大米,大米,米,稻米,丝苗米,粮油副食
正友鲜虾味啪啪豆裹衣花生118g	快消品-休闲食品-坚果炒货-花生	花生仁,花生,坚果,豆子,休闲零食,花生豆,干果,啪啪豆,炒货
法克曼多用夹30cm	家居家装-厨房用品-厨房配件-其他厨房配件	多用夹,家居厨卫,烹饪工具,厨房工具
埃及橙3斤/份	生鲜-水果-柑桔橙柚类-橙子	
雪碧摩登罐330ml*4（新老包装随机发货）	快消品-饮料冲调-碳酸饮料-柠檬味汽水	雪碧,水饮料,碳酸饮料,饮料,酒水饮料,汽水
青岛清爽8度啤酒330ml*6	快消品-中外名酒-啤酒-国产工业啤酒	啤酒啤酒,青啤酒,酒,罐啤,青啤,啤啤,酒水饮料,啤酒酒,啤酒啤,清啤,青岛啤酒,啤酒,黄啤
亮彩圣诞快乐字牌 30cmPVC材质 圣诞节（颜色随机发）	家居家装-鲜花礼品-年节饰品-节日装扮用品	字牌,家居厨卫,饰品
福建槟榔芋头500g	生鲜-蔬菜-根茎类-芋头/芋艿	芋艿头,芋子,蔬菜,毛芋,芋仔,槟榔芋,芋艿,芋儿,芋头,山芋,槟榔芋头,芋头仔,毛芋头
太阳五香牛肉味锅巴130g	快消品-休闲食品-膨化食品-锅巴	五香锅巴,休闲零食,锅巴
情人节橙色郁金香1束(19枝)	家居家装-鲜花礼品-花-单一鲜花花束	花卉,鲜花,郁金香,郁金香花
海底捞番茄火锅底料200g	快消品-粮油调味-调味酱-火锅底料	火锅,番茄底料,番茄火锅,火锅底料,火锅料,火锅汤料,底料,汤底,番茄火锅底料,锅底,火锅汤底
广州酒家利口福传统无馅枧水粽200g	快消品-面点速食-冷冻面点-粽子	速冻食品,粽,枧水粽,粽子
本地西红柿1.5kg	生鲜-蔬菜-瓜茄类-番茄	蔬菜,西红柿,番茄,蕃茄,洋柿子,西红柿子
翔泰冷冻椒麻小酥鱼200g	餐饮熟食-快手菜肴-冷冻快手菜-冷冻海鲜快手菜	加工配菜,酥鱼,小酥鱼,海鲜水产,水产配菜,鱼
信羊冷冻精选肥牛卷150g	生鲜-肉禽蛋-牛肉-牛肉片/卷	火锅,肥牛卷,牛肉,肉卷,牛肉片,牛肉卷,肥牛片,肥牛
豆本豆唯甄原味豆奶250ml*24	快消品-饮料冲调-蛋白饮料-豆奶	奶饮料,豆奶,豆乳饮料
佳沛新西兰金奇异果8粒礼盒装 单果170g+	生鲜-水果-水果礼盒/整箱-单一进口水果礼盒/箱	奇异果,果盒,水果礼盒,礼盒,猕猴桃,水果
福成老北京传统风味酸奶200g	快消品-乳品冷饮-低温乳制品-冷藏原味酸奶	冷藏酸奶,乳制品,老酸奶,发酵乳,奶,酸奶,酸牛奶
松花菜(原料)	生鲜-蔬菜-结球类-花椰菜	白菜花,蔬菜,花椰菜,花菜,散花菜,菜花,散菜花,青菜,松花菜
新疆哈密杏 300g	生鲜-水果-核果类-杏	杏,杏子,密杏,蜜杏,水果,哈密杏,核果
御珍元精选腐竹300g	快消品-粮油调味-南北干货-腐竹/豆皮	腐竹,腐皮,豆皮,南北干货,豆制品
平和红心蜜柚（肉） 约300g	生鲜-水果-柑桔橙柚类-柚子	红柚,蜜柚,柚,红心柚,柚子,水果
梅林四鲜烤麸罐头354g	快消品-粮油调味-方便食品-果蔬罐头	粮油副食,烤麸,罐头,罐头果蔬,罐头制品
慕拉(Moula)冰酒礼盒375ml*2	快消品-中外名酒-葡萄酒-葡萄酒礼盒	
盒成冷冻三文鱼涮涮卷200g	生鲜-海鲜水产-海水鱼-三文鱼	三文鱼,海鲜水产,冷冻水产,涮涮卷,鱼,冷冻海水鱼
光明新鲜屋特品鲜牛奶980ml	快消品-乳品冷饮-低温乳制品-冷藏鲜牛奶	冷藏鲜奶,鲜奶,纯奶,乳制品,牛奶,鲜牛奶,奶
盐津铺子苏式话梅210g	快消品-休闲食品-果干蜜饯-梅类	果干,蜜饯,水果干,话梅,休闲零食,蜜饯果脯,梅子,果脯
鹏程鲜猪瘦肉馅(90%瘦肉)250g	生鲜-肉禽蛋-猪肉-猪肉馅	瘦肉馅,鲜瘦肉馅,猪瘦肉馅,鲜瘦肉,肉糜,猪瘦肉,鲜猪瘦肉馅,猪肉馅,肉碎,鲜肉馅,猪肉,肉末,肉馅,肉泥,瘦肉,鲜猪肉馅
ZEK三合一水果味果冻510g（凤梨荔枝香橙）	快消品-休闲食品-糖果巧克力-果冻/布丁	休闲零食,果冻
杰士邦零感超薄沁润避孕套6只	医疗保健-计生情趣-计生用品-避孕套	
佳节分享清爽乳黄瓜量贩装2kg	生鲜-蔬菜-瓜茄类-黄瓜	青瓜,蔬菜,乳黄瓜,黄瓜,胡瓜
么么吖奶黄流心酥200g	快消品-休闲食品-中西糕点-酥/饼类	月饼,糕点,留心酥,流心酥,休闲零食,点心,西式糕点
云南八里香甜瓜2粒装500g	生鲜-水果-瓜果类-甜瓜	甜瓜,蜜瓜,瓜果,香瓜,哈蜜瓜,水果
如意三宝原汤牛骨火锅900g	餐饮熟食-快手菜肴-冷冻快手菜-冷冻牛羊类快手菜	速冻食品,火锅,冷冻半成品,牛骨
桃红骷髅公主（万圣节）	家居家装-鲜花礼品-年节饰品-节日装扮用品	骷髅公主
文德丰酱牛肉200g	餐饮熟食-快手菜肴-预制菜-肉禽类预制菜肴	酱牛肉,酱肉,牛肉,冷藏包装熟食
供港油麦菜250g起	生鲜-蔬菜-叶菜类-油麦菜	油麦菜,蔬菜,叶菜,斋菜,香麦菜,青菜,小菜
新疆砂糖红提400g起	生鲜-水果-浆果类-提子	提子,砂糖红提,红提,水果
舒客声波电动牙刷E1P-皓月白	3C电器-家用电器-个护电器-电动牙刷	牙刷,电动牙刷,口腔护理
马奇新新巧克力味威化饼干130g	快消品-休闲食品-饼干曲奇-威化饼干	威化,饼干曲奇,威化饼,威化饼干,休闲零食,干干,饼干,威化饼干干
红秋葵约150g	生鲜-蔬菜-果实豆类-秋葵	秋葵,黄秋葵,红秋葵,蔬菜
荷兰啤梨3粒	生鲜-水果-仁果类-梨	啤梨粒,梨,啤梨,梨子,仁果,水果
